area,t,S,SV,E,EV,I,IV,H,D,R,W,V,t_n,L
nondonor,-1,0,0,0,0,0,0,0,0,0,0,0,77.31590435490794,15
donor,0,96964.62715761298,0.0,1800.0,0.0,1235.3728423870145,0.0,0,0,0,75632.40918293814,0,77.31590435490794,15
donor,1,96541.86672257197,0.0,1862.7604350410138,0.0,1235.3728423870145,0.0,0,5.04,354.96,75302.65604360614,0,77.31590435490794,15
donor,2,96120.94949974839,0.0,1911.1255708563885,0.0,1247.9249293952173,0.0,0,10.08,709.92,74974.34060980375,0,77.31590435490794,15
donor,3,95700.62063122165,0.0,1949.2293252118434,0.0,1266.4922398914346,0.0,0,15.171209251450845,1068.4865944236094,74646.4840923529,0,77.31590435490794,15
donor,4,95280.4041583516,0.0,1979.5999330395348,0.0,1287.2696013070401,0.0,0,20.338168302225526,1432.3881389995977,74318.71524351425,0,77.31590435490794,15
donor,5,94860.26602086371,0.0,2003.818083919518,0.0,1308.0663533980626,0.0,0,25.589893585461912,1802.259648233246,73991.0074962737,0,77.31590435490794,15
donor,6,94440.38384827515,0.0,2022.9366397241797,0.0,1327.6463541382368,0.0,0,30.926464210074123,2178.1066936523634,73663.49940165461,0,77.31590435490794,15
donor,7,94021.01297134614,0.0,2037.7201887083584,0.0,1345.3442580236492,0.0,0,36.342916146906056,2559.579665774955,73336.39011764998,0,77.31590435490794,15
donor,8,93602.41607709126,0.0,2048.7730452215624,0.0,1360.8415255346492,0.0,0,41.83157093013546,2946.1377812223973,73009.88454013117,0,77.31590435490794,15
donor,9,93184.83044148551,0.0,2056.6040717829974,0.0,1374.0333056229094,0.0,0,47.3834505355202,3337.1487305730648,72684.16774435868,0,77.31590435490794,15
donor,10,92768.455945238,0.0,2061.6577536738982,0.0,1384.947074387937,0.0,0,52.989149173802204,3731.950077526355,72359.39563728563,0,77.31590435490794,15
donor,11,92353.45387818446,0.0,2064.3282699926635,0.0,1393.6911981753278,0.0,0,58.63937315106565,4129.88728049648,72035.69402498387,0,77.31590435490794,15
donor,12,91939.95081218156,0.0,2064.9656819970337,0.0,1400.4213001135881,0.0,0,64.32527087990947,4530.336934827909,71713.1616335016,0,77.31590435490794,15
donor,13,91528.04437145584,0.0,2063.8789863233483,0.0,1405.317665446894,0.0,0,70.03862567483488,4932.720351099085,71391.87460973553,0,77.31590435490794,15
donor,14,91117.80922284472,0.0,2061.3383376697957,0.0,1408.569841823684,0.0,0,75.77195636726519,5336.510641294534,71071.89119381885,0,77.31590435490794,15
donor,15,90709.30247522415,0.0,2057.5774177564135,0.0,1410.3661717518034,0.0,0,81.51855509374695,5741.235380173893,70753.2559306748,0,77.31590435490794,15
donor,16,90302.56817164435,0.0,2052.796237784926,0.0,1410.886849192893,0.0,0,87.27248237928966,6146.476258998543,70436.00317388256,0,77.31590435490794,15
donor,17,89897.64082800905,0.0,2047.164333863242,0.0,1410.2995600265772,0.0,0,93.02853389341587,6551.866744207718,70120.15984584703,0,77.31590435490794,15
donor,18,89494.54810749229,0.0,2040.8241876073569,0.0,1408.7570320118807,0.0,0,98.7821894204387,6957.08848346804,69805.74752384395,0,77.31590435490794,15
donor,19,89093.31277520962,0.0,2033.8946823685524,0.0,1406.3959828347697,0.0,0,104.52955183421885,7361.867007752842,69492.78396466347,0,77.31590435490794,15
donor,20,88693.95408762175,0.0,2026.4744334827096,0.0,1403.3370659506,0.0,0,110.26728178122917,7765.967131163712,69181.28418834493,0,77.31590435490794,15
donor,21,88296.4887576729,0.0,2018.6448767350269,0.0,1399.6854982584773,0.0,0,115.99253214267047,8169.1883351909355,68871.26123098482,0,77.31590435490794,15
donor,22,87900.93161326536,0.0,2010.473045795553,0.0,1395.5321225579798,0.0,0,121.70288505733551,8571.360333323773,68562.72665834695,0,77.31590435490794,15
donor,23,87507.29604121801,0.0,2002.014008683793,0.0,1390.9547158824694,0.0,0,127.3962932790202,8972.33894093671,68255.69091215,0,77.31590435490794,15
donor,24,87115.59428549309,0.0,1993.3129626719542,0.0,1386.0194038639174,0.0,0,133.07102687159454,9372.002321099446,67950.16354268458,0,77.31590435490794,15
donor,25,86725.83764898776,0.0,1984.4070066429001,0.0,1380.782081918324,0.0,0,138.72562567431433,9770.24763677671,67646.15336621042,0,77.31590435490794,15
donor,26,86338.03663296314,0.0,1975.326621338937,0.0,1375.289776755085,0.0,0,144.3588575651998,10166.988111377645,67343.66857371121,0,77.31590435490794,15
donor,27,85952.20103688125,0.0,1966.0968931530435,0.0,1369.5819071786732,0.0,0,149.9696822790186,10562.150480508026,67042.71680876733,0,77.31590435490794,15
donor,28,85568.34003337857,0.0,1956.738518025108,0.0,1363.6914222383448,0.0,0,155.55722036901173,10955.67280598897,66743.30522603526,0,77.31590435490794,15
donor,29,85186.46222759939,0.0,1947.2686201992615,0.0,1357.6458084888905,0.0,0,161.1207268119744,11347.502616900483,66445.4405375275,0,77.31590435490794,15
donor,30,84806.57570647624,0.0,1937.7014172825589,0.0,1351.467967476995,0.0,0,166.65956872269888,11737.595340041506,66149.12905105144,0,77.31590435490794,15
donor,31,84428.68808123113,0.0,1928.0487590711657,0.0,1345.1769705310357,0.0,0,172.17320664833346,12125.912982518343,65854.37670336025,0,77.31590435490794,15
donor,32,84052.8065249546,0.0,1918.3205635334516,0.0,1338.78870136282,0.0,0,177.66117894208776,12512.423031207038,65561.18908946456,0,77.31590435490794,15
donor,33,83678.9378062904,0.0,1908.5251694909655,0.0,1332.3163986053708,0.0,0,183.1230887585857,12897.097536854679,65269.571488906484,0,77.31590435490794,15
donor,34,83307.08831979298,0.0,1898.6696220901908,0.0,1325.7711107859727,0.0,0,188.55859326263197,13279.912354068223,64979.5288894385,0,77.31590435490794,15
donor,35,82937.26411328821,0.0,1888.759904176917,0.0,1319.1620758098707,0.0,0,193.96739469414993,13660.846512030845,64691.06600836478,0,77.31590435490794,15
donor,36,82569.47091245698,0.0,1878.8011241727702,0.0,1312.4970361334995,0.0,0,199.3492329813145,14039.881694255435,64404.187311716414,0,77.31590435490794,15
donor,37,82203.71414281958,0.0,1868.797668975623,0.0,1305.7824996683903,0.0,0,204.70387963950978,14417.001808896903,64118.89703139924,0,77.31590435490794,15
donor,38,81839.9989492894,0.0,1858.753328710679,0.0,1299.0239552351493,0.0,0,210.0311327347069,14792.19263403007,63835.1991804457,0,77.31590435490794,15
donor,39,81478.3302134675,0.0,1848.6713987904377,0.0,1292.2260501822102,0.0,0,215.33081272583794,15165.441524834014,63553.09756650462,0,77.31590435490794,15
donor,40,81118.71256885525,0.0,1838.5547636446092,0.0,1285.3927366566998,0.0,0,220.60275903180832,15536.737171811641,63272.59580370706,0,77.31590435490794,15
donor,41,80761.15041416514,0.0,1828.4059656058014,0.0,1278.5273919964927,0.0,0,225.8468271952561,15906.069401037323,62993.69732304877,0,77.31590435490794,15
donor,42,80405.64792490909,0.0,1818.2272617406818,0.0,1271.632917815955,0.0,0,231.06288653747987,16273.429008996796,62716.40538142906,0,77.31590435490794,15
donor,43,80052.2090634382,0.0,1808.0206708634298,0.0,1264.7118215833439,0.0,0,236.25081821761034,16638.807625897414,62440.72306948177,0,77.31590435490794,15
donor,44,79700.83758759967,0.0,1797.7880125292731,0.0,1257.7662838284275,0.0,0,241.41051362459677,17002.19760241803,62166.65331832772,0,77.31590435490794,15
donor,45,79351.53705816611,0.0,1787.5309394569756,0.0,1250.79821356384,0.0,0,246.54187304338296,17363.591915769684,61894.19890536954,0,77.31590435490794,15
donor,46,79004.3108451803,0.0,1777.250964551395,0.0,1243.8092940405966,0.0,0,251.6448045471879,17722.98409168052,61623.362459240605,0,77.31590435490794,15
